time,p1,p2,p3
2024-07-19 00:25:34.959571+00,79.581810,58.978580,20.494648
2024-07-19 00:25:49.935892+00,90.197350,84.024803,12.607745
2024-07-19 00:26:04.935162+00,62.792873,74.012634,44.374538
2024-07-19 00:26:22.913837+00,59.224335,80.686478,39.578114
2024-07-19 00:26:37.734331+00,80.695435,74.369934,13.488169
2024-07-19 00:26:52.721559+00,67.365913,56.553761,27.754210
2024-07-19 00:27:10.808375+00,84.399475,60.756943,14.282363
2024-07-19 00:27:25.694193+00,69.075134,47.105804,17.844641
2024-07-19 00:27:40.640416+00,56.092274,58.455376,33.806347
2024-07-19 00:27:58.542214+00,67.082397,56.711876,29.051374
2024-07-19 00:28:13.338627+00,73.512688,87.923271,24.550886
2024-07-19 00:28:28.272007+00,64.821510,84.560081,40.371147
2024-07-19 00:28:46.400172+00,55.802246,66.310333,35.545578
2024-07-19 00:29:01.292169+00,56.677124,61.190216,39.067013
2024-07-19 00:29:16.18143+00,59.605118,59.987553,34.855465
2024-07-19 00:29:31.10616+00,61.777309,82.563194,31.009933
2024-07-19 00:29:49.12231+00,66.111702,83.076065,11.831338
2024-07-19 00:30:04.025897+00,75.849846,59.266136,18.341484
2024-07-19 00:30:18.905473+00,66.953888,81.486458,40.959553
2024-07-19 00:30:36.955805+00,73.632881,59.905182,28.637423
2024-07-19 00:30:51.810766+00,70.757683,57.740307,15.468305
2024-07-19 00:31:06.726368+00,58.710140,86.361374,35.843239
2024-07-19 00:31:24.816449+00,56.471279,64.521355,33.846855
2024-07-19 00:31:39.69384+00,85.722687,72.019829,15.791458
2024-07-19 00:31:54.552963+00,60.441402,67.589722,43.459934
2024-07-19 00:32:12.651987+00,65.322304,86.954987,26.627052
2024-07-19 00:32:27.556201+00,89.762283,76.086563,12.792408
2024-07-19 00:32:42.423248+00,89.350807,64.846565,18.793320
2024-07-19 00:32:57.312228+00,85.143867,75.289688,14.235917
2024-07-19 00:33:15.465788+00,56.623539,76.162277,43.709091
2024-07-19 00:33:30.2634+00,80.050713,62.805126,18.079266
2024-07-19 00:33:45.238372+00,84.966881,73.587944,16.213308
2024-07-19 00:34:03.155139+00,87.853607,63.286869,14.372550
2024-07-19 00:34:18.010885+00,63.092083,87.397858,35.563435
2024-07-19 00:34:33.009079+00,58.895496,62.249535,41.593967
2024-07-19 00:34:51.027667+00,61.109333,79.760689,30.214552
2024-07-19 00:35:05.826202+00,84.904419,64.530098,13.113210
2024-07-19 00:35:20.759472+00,75.242905,86.674072,25.424849
2024-07-19 00:35:38.855952+00,82.844963,58.767235,15.792714
2024-07-19 00:35:53.654426+00,67.211304,84.220215,37.188091
2024-07-19 00:36:08.652271+00,61.216587,58.082283,36.918377
2024-07-19 00:36:26.719029+00,72.418381,84.807938,25.234081
2024-07-19 00:36:41.610824+00,81.776031,59.850471,15.590637
2024-07-19 00:36:56.542183+00,85.154999,63.047428,12.906286
2024-07-19 00:37:11.476224+00,83.303329,82.105270,21.062269
2024-07-19 00:37:29.494148+00,79.897591,58.799908,13.574260
2024-07-19 00:37:44.39197+00,69.389160,84.485519,39.159775
2024-07-19 00:37:59.328528+00,53.165184,58.474716,34.902557
2024-07-19 00:38:17.272696+00,76.712639,54.180351,19.750034
2024-07-19 00:38:32.196201+00,53.589970,72.186951,45.597481
2024-07-19 00:38:47.120747+00,78.852333,87.174202,27.416187
2024-07-19 00:39:05.112967+00,61.896942,55.064980,21.357056
2024-07-19 00:39:20.056124+00,48.929173,66.003883,40.468807
2024-07-19 00:39:34.981175+00,70.178017,84.204834,39.628521
2024-07-19 00:39:52.975201+00,69.677956,50.426502,24.825090
2024-07-19 00:40:07.901431+00,53.743813,69.934433,41.527248
2024-07-19 00:40:22.811159+00,56.237297,68.528709,43.613110
2024-07-19 00:40:37.74008+00,53.955666,76.109238,46.033836
2024-07-19 00:40:55.71086+00,87.854149,83.021942,15.952539
